t	angle	cycles
8.250000000	-0.790300000	5
8.270000000	-0.762220000	5
8.280000000	-0.733630000	5
8.300000000	-0.713470000	5
8.320000000	-0.673630000	5
8.330000000	-0.628820000	5
8.350000000	-0.547680000	5
8.370000000	-0.489150000	5
8.380000000	-0.338250000	5
8.400000000	-0.300700000	5
8.420000000	-0.169380000	5
8.430000000	-0.023680000	5
8.450000000	0.135958000	5
8.470000000	0.220501000	5
8.480000000	0.384625000	5
8.500000000	0.502778000	5
8.520000000	0.635778000	5
8.530000000	0.737572000	5
8.550000000	0.817918000	5
8.570000000	0.882409000	5
8.580000000	0.921128000	5
8.600000000	0.921771000	5
8.630000000	0.989907000	5
8.670000000	0.986060000	5
8.680000000	0.991544000	5
8.700000000	0.994019000	5
8.720000000	0.970170000	5
8.730000000	0.947663000	5
8.750000000	0.926651000	5
8.770000000	0.908016000	5
8.780000000	0.892258000	5
8.800000000	0.875367000	5
8.820000000	0.861815000	5
8.830000000	0.854157000	5
8.850000000	0.849652000	5
8.870000000	0.847851000	5
8.880000000	0.848484000	5
8.900000000	0.852205000	5
8.920000000	0.863515000	5
8.930000000	0.868918000	5
8.950000000	0.883345000	5
8.970000000	0.901328000	5
8.980000000	0.921155000	5
9.000000000	0.941029000	5
9.020000000	0.960123000	5
9.030000000	0.962467000	5
9.050000000	0.975732000	5
9.070000000	0.996397000	5
9.080000000	0.999348000	5
9.100000000	0.992607000	5
9.120000000	0.974621000	5
9.130000000	0.940374000	5
9.170000000	0.827225000	5
9.270000000	0.226038000	5
9.320000000	-0.159980000	5
9.380000000	-0.567420000	6
9.400000000	-0.635040000	6
9.420000000	-0.696120000	6
9.430000000	-0.714530000	6
9.450000000	-0.790890000	6
9.480000000	-0.818970000	6
9.500000000	-0.838670000	6
9.520000000	-0.841920000	6
9.530000000	-0.891750000	6
9.550000000	-0.901090000	6
9.570000000	-0.871220000	6
9.580000000	-0.867410000	6
9.600000000	-0.864830000	6
9.620000000	-0.852630000	6
9.630000000	-0.898080000	6
9.650000000	-0.869580000	6
9.670000000	-0.853100000	6
9.680000000	-0.828800000	6
9.700000000	-0.799690000	6
9.720000000	-0.768270000	6
9.730000000	-0.739000000	6
9.750000000	-0.677200000	6
9.770000000	-0.614490000	6
9.780000000	-0.543690000	6
9.800000000	-0.462370000	6
9.820000000	-0.360830000	6
9.830000000	-0.275990000	6
9.850000000	-0.055620000	6
9.870000000	0.065465000	6
9.880000000	0.211598000	6
9.900000000	0.305638000	6
9.920000000	0.433305000	6
9.930000000	0.545458000	6
9.950000000	0.559133000	6
9.970000000	0.712379000	6
10.000000000	0.730351000	6
10.000000000	0.908661000	6
10.000000000	0.935022000	6
10.100000000	0.959118000	6
10.100000000	0.982569000	6
10.100000000	0.994851000	6
10.100000000	0.999793000	6
10.100000000	0.999394000	6
10.100000000	0.996281000	6
10.200000000	0.992628000	6
10.200000000	0.986166000	6
10.200000000	0.892687000	6
10.200000000	-0.126730000	6
10.300000000	0.923898000	6
10.300000000	0.919951000	6
10.300000000	0.918600000	6
10.300000000	0.917997000	6
10.300000000	0.918872000	6
10.300000000	0.920833000	6
10.400000000	0.929537000	6
10.400000000	0.937415000	6
10.400000000	0.949875000	6
10.400000000	0.957659000	6
10.400000000	0.969176000	6
10.400000000	0.979200000	6
10.500000000	0.987048000	6
10.500000000	0.992594000	6
10.500000000	0.995864000	6
10.500000000	0.999946000	6
10.500000000	0.999788000	6
10.500000000	0.994527000	6
10.600000000	0.970195000	6
10.600000000	0.933622000	6
10.600000000	0.883473000	6
10.600000000	0.797813000	6
10.600000000	0.729217000	6
10.600000000	0.649675000	6
10.700000000	0.560828000	6
10.700000000	0.462357000	6
10.700000000	0.364334000	6
10.700000000	0.263293000	6
10.700000000	0.162403000	6
10.700000000	0.061212000	6
10.800000000	-0.033380000	7
10.800000000	-0.134480000	7
10.800000000	-0.218640000	7
10.800000000	-0.293290000	7
10.800000000	-0.353410000	7
10.800000000	-0.414150000	7
10.900000000	-0.467660000	7
10.900000000	-0.513830000	7
10.900000000	-0.553650000	7
10.900000000	-0.586700000	7
10.900000000	-0.614860000	7
10.900000000	-0.639420000	7
11.000000000	-0.657440000	7
11.000000000	-0.667140000	7
11.000000000	-0.678330000	7
11.000000000	-0.679000000	7
11.000000000	-0.675050000	7
11.000000000	-0.666410000	7
11.100000000	-0.656310000	7
11.100000000	-0.637540000	7
11.100000000	-0.619960000	7
11.100000000	-0.593460000	7
11.100000000	-0.566060000	7
11.100000000	-0.527910000	7
11.200000000	-0.480970000	7
11.200000000	-0.436040000	7
11.200000000	-0.376330000	7
11.200000000	-0.317240000	7
11.200000000	-0.239620000	7
11.200000000	-0.154010000	7
11.300000000	-0.066200000	7
11.300000000	0.024926000	7
11.300000000	0.119554000	7
11.300000000	0.218708000	7
11.300000000	0.318669000	7
11.300000000	0.419746000	7
11.400000000	0.516291000	7
11.400000000	0.608324000	7
11.400000000	0.692833000	7
11.400000000	0.765359000	7
11.400000000	0.828797000	7
11.400000000	0.880939000	7
11.500000000	0.947786000	7
11.500000000	0.970974000	7
11.500000000	0.997711000	7
11.500000000	0.999906000	7
11.500000000	0.997432000	7
11.500000000	0.994303000	7
11.600000000	0.993856000	7
11.600000000	0.985465000	7
11.600000000	0.982735000	7
11.600000000	0.969789000	7
11.600000000	0.962086000	7
11.600000000	0.953700000	7
11.700000000	0.947159000	7
11.700000000	0.939297000	7
11.700000000	0.934740000	7
11.700000000	0.933314000	7
11.700000000	0.932703000	7
11.700000000	0.933885000	7
11.800000000	0.936234000	7
11.800000000	0.942621000	7
11.800000000	0.949189000	7
11.800000000	0.960082000	7
11.800000000	0.968268000	7
11.800000000	0.978250000	7
11.900000000	0.991744000	7
11.900000000	0.996943000	7
11.900000000	0.999116000	7
11.900000000	0.999992000	7
11.900000000	0.996435000	7
12.000000000	0.981230000	7
12.000000000	0.981932000	7
12.000000000	0.948431000	7
12.000000000	0.913076000	7
12.000000000	0.836572000	7
12.000000000	0.740029000	7
12.100000000	0.661605000	7
12.100000000	0.576484000	7
12.100000000	0.484997000	7
12.100000000	0.389696000	7
12.100000000	0.289154000	7
12.100000000	0.187824000	7
12.200000000	0.092830000	8
12.200000000	-0.002760000	8
12.200000000	-0.101100000	8
12.200000000	-0.183670000	8
12.200000000	-0.257270000	8
12.200000000	-0.304130000	8
12.300000000	-0.377920000	8
12.300000000	-0.438970000	8
12.300000000	-0.487520000	8
12.300000000	-0.528400000	8
12.300000000	-0.563540000	8
12.300000000	-0.590610000	8
12.400000000	-0.616230000	8
12.400000000	-0.634170000	8
12.400000000	-0.646990000	8
12.400000000	-0.651950000	8
12.400000000	-0.656630000	8
12.400000000	-0.654490000	8
12.500000000	-0.646280000	8
12.500000000	-0.636440000	8
12.500000000	-0.621110000	8
12.500000000	-0.600610000	8
12.500000000	-0.577940000	8
12.500000000	-0.546800000	8
12.600000000	-0.512370000	8
12.600000000	-0.462900000	8
12.600000000	-0.417400000	8
12.600000000	-0.355560000	8
12.600000000	-0.298800000	8
12.600000000	-0.225500000	8
12.700000000	-0.144120000	8
12.700000000	-0.056940000	8
12.700000000	0.031399000	8
12.700000000	0.121948000	8
12.700000000	0.221400000	8
12.700000000	0.316951000	8
12.800000000	0.416294000	8
12.800000000	0.513851000	8
12.800000000	0.601769000	8
12.800000000	0.685768000	8
12.800000000	0.755654000	8
12.800000000	0.818588000	8
12.900000000	0.871056000	8
12.900000000	0.914658000	8
12.900000000	0.946281000	8
12.900000000	0.990887000	8
13.000000000	0.987292000	8
13.000000000	0.979970000	8
13.000000000	0.963266000	8
13.000000000	0.956209000	8
13.000000000	0.932181000	8
13.000000000	0.919595000	8
13.100000000	0.900780000	8
13.100000000	0.886226000	8
13.100000000	0.887312000	8
13.100000000	0.945476000	8
13.100000000	0.936348000	8
13.100000000	0.936555000	8
13.200000000	0.945638000	8
13.200000000	0.947702000	8
13.200000000	0.951533000	8
13.200000000	0.957908000	8
13.200000000	0.961683000	8
13.200000000	0.968200000	8
13.300000000	0.975588000	8
13.300000000	0.961321000	8
13.300000000	0.972051000	8
13.300000000	0.984170000	8
13.300000000	0.999211000	8
13.300000000	0.999856000	8
13.400000000	0.988011000	8
13.400000000	0.986096000	8
13.400000000	0.953281000	8
13.400000000	0.942915000	8
13.400000000	0.901142000	8
13.400000000	0.835452000	8
13.500000000	0.711848000	8
13.500000000	0.537362000	8
13.500000000	0.328090000	8
13.500000000	0.236549000	8
13.600000000	-0.225070000	9
13.600000000	-0.140280000	9
13.600000000	-0.223300000	9
13.600000000	-0.311400000	9
13.700000000	-0.387350000	9
13.700000000	-0.450560000	9
13.700000000	-0.511570000	9
13.700000000	-0.571630000	9
13.700000000	-0.613330000	9
13.700000000	-0.647200000	9
13.800000000	-0.676160000	9
13.800000000	-0.700990000	9
13.800000000	-0.720830000	9
13.800000000	-0.668280000	9
13.800000000	-0.667370000	9
13.900000000	-0.666880000	9
13.900000000	-0.659310000	9
13.900000000	-0.646890000	9
13.900000000	-0.629020000	9
13.900000000	-0.608770000	9
13.900000000	-0.585330000	9
14.000000000	-0.551660000	9
14.000000000	-0.516650000	9
14.000000000	-0.471970000	9
14.000000000	-0.420910000	9
14.000000000	-0.363090000	9
14.000000000	-0.301390000	9
14.100000000	-0.223740000	9
14.100000000	-0.141820000	9
